defect name,Issue Qualifier,Source,Defect Group,description,code example,code fix example,Detectability,Pylint,Flake8,Edulint,Vulture,NonEnglishNameDetector
Unused Control Variable,Unnecessary,Control/Block,Group1,The control variable of a loop is unused in its body.,"for i in range(n):
    print(""Hello"")","for _ in range(n):
    print(""Hello"")",Detectable,,"B007 Loop control variable 'i' not used within the loop body. If this is intended, start the name with an underscore.(Checks for unused variables in loops (e.g., for and while statements).)",,,
Inappropriate Whitespace: Trailing,Inconsistent,Typographic,Group1 + Group2 (TP5),"Violating PEP 8 conventions about whitespace, trailing spaces / lines, inconsitent line endings ...","def first_func():
    # The line below has two spaces after its final character
    pass••","def first_func():
    pass",Detectable,"C0303: Trailing whitespace (trailing-whitespace)（Used when there is whitespace between the end of a line and the newline.）
C0304: Final newline missing (missing-final-newline)（Used when the last line in a file is missing a newline.）
C0305: Trailing newlines (trailing-newlines)（Used when there are trailing blank lines in a file.）","W291 trailing whitespace（There should be no whitespace after the final character in a line.）
W292 no newline at end of file（Files should end with a newline.）
W293 blank line contains whitespace（Blank lines should not contain any tabs or spaces.）
W391 blank line at end of file（There should be one, and only one, blank line at the end of each file. This warning will occur when there are zero, two, or more than two blank lines.）
","W291 trailing whitespace [default]
W292 no newline at end of file [default]
W293 blank line contains whitespace [default]
W391 blank line at end of file [default]",,
Negated Condition with Else Clause,Unclear,Expressions,Group1,"The code contains an if statement with an else branch, whose condition is negated.","if not cond:
     # body 1
else:
     # body 2","if cond:
    # body 2
else:
    # body 1",Detectable,,WPS504 Found negated condition（Forbid negated conditions together with else clause. Move actions from the negated if condition to the else condition）,WPS504 Found negated condition,,
Argument Does Not Come First in Comparison,Unclear,Expressions,Group1,A code uses a comparison where a constant comes first and a variable only second.,if 3 < some_x:,if some_x > 3:,Detectable,,"WPS309 Found reversed compare order（Forbid comparisons where the argument doesn’t come first.Refactor your comparison expression, place the argument first.）",WPS309 Found reversed compare order,,
Using Float Division,Unsuitable,Expressions,Group1,Using float division and immediately converting the result to int.,int(x / y),x // y,Detectable,,,R6602 Use integral division ( Emitted when the code uses float division and converts the result to int.),,
Identity Comprehension,Unsuitable,Data,Group1,The comprehension does not change the structure and there are better ways to copy a structure.,[number for number in lst],lst.copy(),Detectable,"R1721: Unnecessary use of a comprehension, use list(numbers) instead. (unnecessary-comprehension)（Instead of using an identity comprehension, consider using the list, dict or set constructor. It is faster and simpler）","C416 Unnecessary list comprehension - rewrite using list().（It’s unnecessary to use a dict/list/set comprehension to build a data structure if the elements are unchanged. Wrap the iterable with dict(), list(), or set() instead.）","R1721 Unnecessary use of a comprehension, use list(numbers) instead. [python-specific]",,
Explicit Type Comparison,Unsuitable,Expressions,Group1,The code compares types instead of using isinstance.,type(val) == int,"isinstance(val, int)",Detectable," C0123: Use isinstance() rather than type() for a typecheck. (unidiomatic-typecheck)（The idiomatic way to perform an explicit typecheck in Python is to use isinstance(x, Y) rather than type(x) == Y, type(x) is Y. Though there are unusual situations where these give different results.）","E721 do not compare types, for exact checks use `is` / `is not`, for instance checks use `isinstance()`（A object should be be compared to a type by using isinstance. This is because isinstance can handle subclasses as well.）","C0123 Use isinstance() rather than type() for a typecheck. [python-specific]
E721 do not compare types, for exact checks use `is` / `is not`, for instance checks use `isinstance()` [default]",,
Using len(container) Without Compare,Unsuitable,Expressions,Group1,Emptiness of a container is tested by getting its length and implicitly converting it to bool.,"if len(lst):
    # body","if len(lst) == 0: / if not lst:
    # body",Special Case,C1802: Do not use `len(SEQUENCE)` without comparison to determine if a sequence is empty (use-implicit-booleaness-not-len)（Empty sequences are considered false in a boolean context. You can either remove the call to 'len' (`if not x) or compare the length against a scalar (if len(x) > 1).）,,,,
Import Outside Toplevel,Unsuitable,Organization,Group1,Importing other modules from other place then the top level.,"def fun():
    import module","import module

def fun():
    # body
",Detectable,C0415: Import outside toplevel (math) (import-outside-toplevel)（Used when an import statement is used anywhere other than the module toplevel. Move this import to the top of the file.）,WPS433 Found nested import（Forbid imports nested in functions.）,C0415 Import outside toplevel (math) [default],,
Unsuited List Extension,Unsuitable,Data,Group1,The code extends list by a single argument instead of appending it.,lst += [val] or lst.extend([val]),lst.append(val),Detectable,,,R6601 Use XX.append(*) instead of XXX. [default](Emitted when code extends list by a single argument instead of appending it.),,
Not Using f-Strings,Unsuitable,Expressions,Group1,"using %, +, join or format","from string import Template

menu = (""eggs"", ""spam"", 42.4)

old_order = ""%s and %s: %.2f ¤"" % menu  # [consider-using-f-string]
beginner_order = menu[0] + "" and "" + menu[1] + "": "" + str(menu[2]) + "" ¤""
joined_order = "" and "".join(menu[:2])
# +1: [consider-using-f-string]
format_order = ""{} and {}: {:0.2f} ¤"".format(menu[0], menu[1], menu[2])
# +1: [consider-using-f-string]
named_format_order = ""{eggs} and {spam}: {price:0.2f} ¤"".format(
    eggs=menu[0], spam=menu[1], price=menu[2]
)
template_order = Template(""$eggs and $spam: $price ¤"").substitute(
    eggs=menu[0], spam=menu[1], price=menu[2]
)","menu = (""eggs"", ""spam"", 42.4)

f_string_order = f""{menu[0]} and {menu[1]}: {menu[2]:0.2f} ¤""",Special Case,C0209: Formatting a regular string which could be an f-string (consider-using-f-string)（Used when we detect a string that is being formatted with format() or % which could potentially be an f-string. The use of f-strings is preferred. Requires Python 3.6 and ``py-version >= 3.6``.）,,C0209 Formatting a regular string which could be an f-string [python-specific],,
Redundant Component in Slice,Unnecessary,Data,Group1,The code explicitly states implicit bounds on list slices.,x[0:7:1],x[:7:1],Detectable,,WPS349 Found redundant subscript slice（Forbid redundant components in a subscript’s slice.）,WPS349 Found redundant subscript slice,,
Equality with None,Unsuitable,Expressions,Group1,"Comparisons to singletons like None should always be done with is, not using the equality operators.",val == None,val is None,Detectable,"C0121: Comparison 'value == None' should be 'value is None' (singleton-comparison)（Used when an expression is compared to singleton values like True, False or None.）","E711 comparison to None should be 'if cond is None:'（Comparisons to the singleton objects, like True, False, and None, should be done with identity, not equality. Use “is” or “is not”）",E711 comparison to None should be 'if cond is None:' [default],,
Absolute Value,Unsuitable,Expressions,Group1,Compound condition equivalent to a single condition with absolute value.,x < 4 and x > -4,abs(x) < 4,Detectable,,,R6211 'x < * and x > -*' can be replaced with 'abs(x) < * (Emitted when there is a problem like x < 4 and x > -4 and suggests abs(x) < 4.)',,
If Statement Instead of min/max,Unsuitable,Expressions,Group1,"The code uses an if statement to determine a maximum/minimum of two values, instead of function max/min.","if longest < current:
    longest = current","longest = max(longest, current)",Detectable,"R1731: Consider using 'value1 = max(value1, value2)' instead of unnecessary if block (consider-using-max-builtin)（Using the max builtin instead of a conditional improves readability and conciseness.）
R1730: Consider using 'value1 = min(value1, value2)' instead of unnecessary if block (consider-using-min-builtin)（Using the min builtin instead of a conditional improves readability and conciseness.）",,"R1731 Consider using 'value1 = max(value1, value2)' instead of unnecessary if block [enhancement]
R1730 Consider using 'value1 = min(value1, value2)' instead of unnecessary if block [enhancement]",,
For with Redundant Dictionary Indexing,Unsuitable,Data,Group1,"Iterating through dictionary keys, accessing (not modifying) items at the current key only.","for key in dictionary:
    print(key, dictionary[key])","for key, val in dictionary.items():
    print(key, val)",Detectable,,WPS528 Found implicit `.items()` usage,,,
Redundant Typecasts,Unnecessary,Expressions,Group2 (EX2),A typecast to the current type is a redundant operation,"var1 = str(input())
var2 = int(6 + 4)","var1 = input()
var2 = 6 + 4",Undetectable,,,,,
Unused return value,Unnecessary,Data,Group2 (DT3),a return value that is not needed by the caller,"def swap(values):
    temp = values[0]
    values[0] = values[1]
    values[1] = temp
    return temp  ","def swap(values):
    temp = values[0]
    values[0] = values[1]
    values[1] = temp",Undetectable,,,,,
Excessive use of variables or data structures to store intermediate values,Duplication,Data,Group2 (DT6),the use ofunnecessary variables to store intermediate results,"condAux = cond1 and cond2
condRes = condAux and cond3",condRes = cond1 and cond2 and cond3,Undetectable,,,,,
Redundant check of a condition (part of a composite condition),Unnecessary,Control/Block,Group2 (CB3),"the value of some conditions in a complex Boolean expression may be already known for a given execution flow, hence such conditions can be removed","if num1 % 2 == 0:
    print(num1, ""odd"")
elif num2 % 2 == 0 and num1 % 2 != 0:
    print(num2, ""odd"", num1, ""even"")","if num1 % 2 == 0:
    print(num1, ""odd"")
elif num2 % 2 == 0: 
    print(num2, ""odd"", num1, ""even"")",Special Case,,,"R6212 'num > 0 and num > 0' can be simplified to 'num > 0'. Simplify the condition if it is on purpose, or change it if it was not. (""redundant-compare-in-condition"",Emitted when there is a problem like x > 4 or x > 3 and suggests x > 3. (ie min{4, 3}))",,
While Condition Tested Again in the Middle of Its Block,Duplication,Control/Block,Group2 (CB13),A while condition tested again in the middle of its block,"varCond = ...  # setting initial value
while varCond != 0:
    varCond = ...  # setting initial value
    if varCond == 0:
        break
    # code performing some function","varCond = ...  # setting initial value
while varCond != 0:
    # code performing some function
    varCond = ...  # getting new value",Undetectable,,,,,
Multiple Distinct Loops That Operate Over the Same Data,Duplication,Control/Block,Group2 (CB14),multiple for loops with the same iteration range that could be merged into a single loop,"numbers = [1, 2, 3, 4, 5]
for num in numbers:
    print(f""Square of {num}: {num ** 2}"")
for num in numbers:
    print(f""Cube of {num}: {num ** 3}"")
for num in numbers:
    print(f""Double of {num}: {num * 2}"")","numbers = [1, 2, 3, 4, 5]

# Merge all operations into a single loop
for num in numbers:
    print(f""Square of {num}: {num ** 2}, Cube: {num ** 3}, Double: {num * 2}"")",Undetectable,,,,,
Special Treatment of Boundary Case(s) Inside Loop Body,Unclear,Control/Block,Group2 (CB16),some special treatment of a boundary case within the loop,"print(""{"", end="""")
for i in range(len(testArray)):
    if i == len(testArray) - 1:
        print(testArray[i], end=""]"")
    else:
        print(testArray[i], end="", "")","print(""{"", end="""")

for i in range(len(testArray) - 1):  
    print(testArray[i], end="", "")

print(testArray[-1], end=""]"") ",Undetectable,,,,,
Statement Inside Loop Only Needed in Last Iteration,Unclear,Control/Block,Group2 (CB17),a statement within a loop that is only executed in the last iteration,"for iter in lst:
    var1 += 1
    var2 += iter
    var3 = var2 / var1","for iter in lst:
    var1 += 1
    var2 += iter
var3 = var2 / var1",Undetectable,,,,,
Single-Iteration While Loop Used Instead of if,Unsuitable,Control/Block,Group2 (CB18),A single-iteration while loop used instead of an ifconditional,"while num1 + num2 < 9:
    print(num1 + num2, ""has more than 1 digit."")
    break","if num1 + num2 < 9:
    print(num1 + num2, ""has more than 1 digit."")",Undetectable,,,,,
Use of Recursion Instead of a Simple Iteration,Unsuitable,Control/Block,Group2 (CB19),the use of recursion when an iteration would be a simpler solution,"def input_hour():
    hour = int(input(""Please enter the hour (0-23): ""))
    if 0 <= hour <= 23:
        return hour
    else:
        return input_hour()","def input_hour():
    while True: 
        hour = int(input(""Please enter the hour (0-23): ""))
        if 0 <= hour <= 23:
            return hour ",Undetectable,,,,,
Infinite Loops with Breaks,Unsuitable,Control/Block,Group2 (CB22),Infinite loops with a break to terminate the loop should be replaced with a loop using an explicit end condition,"while True:
    number = int(input(""Enter an even number: ""))
    
    if number % 2 == 0:
        break","number = int(input(""Enter an even number: ""))
while number % 2 != 0:
    number = int(input(""Enter an even number: ""))",Undetectable,,,,,
User-Defined Functions Doing Essentially the Same Work,Duplication,Organization,Group2 (OR4),"multiple functions that perform almost
identical tasks","def print_latitude(city, deg, min, sec):
    print(f""The latitude of {city} is {deg}:{min}:{sec}"")

def print_longitude(city, deg, min, sec):
    print(f""The longitude of {city} is {deg}:{min}:{sec}"")","def print_location(city, lat_long, deg, min, sec):
    print(f""The {lat_long} of {city} is {deg}:{min}:{sec}"")",Undetectable,,,,,
Arbitrary Organization of Declarations,Unclear,Organization,Group2 (OR5),the functions may be casually spread over the code,"var1 = input()

def func1():
    ...
var2 = input()
var3 = func1(var1, var2)

def func2():
    ...
var4 = func2(var3, var1)
var5 = input()","def func1():
    ...
    
def func2():
    ...

var1 = input()
var2 = input()
var3 = func1(var1, var2)
var4 = func2(var3, var1)
var5 = input()",Undetectable,,,,,
Inconsistent Order of the Same Parameters in Different Methods,Inconsistent,Organization,Group2 (OR7),"the order of parameters in the method signatures may
be inconsistent","def print_date(day, month, year):
    print(f""{month}-{day}-{year}"")

def input_date(date_values):  
    date_values[1] = input_year()  
    date_values[2] = input_month()  
    date_values[0] = input_day(date_values[1], date_values[2]) ","def print_date(year, month, day):
    print(f""{month}-{day}-{year}"")

def input_date(date_values):  
    date_values[0] = input_year()  
    date_values[1] = input_month()  
    date_values[2] = input_day(date_values[0], date_values[1]) ",Undetectable,,,,,
